Address,Balance,Transaction count,inEther,outEther,feeEther,inCall,outCall,Call count,,,,,
0xafd46e3549cc63d7a240d6177d056857679e6f99,0,5,0.1,0.008951,0,0,4,4,,,,,
0x752481f35bb1d44d786c7b4dbe40db4a4266f96f,0,2,0,0,0,1,2,3,,,,,
0xac32def421e36b43629f785fd04523260e7f2b28,0,4,0,0,0,0,4,4,,,,,
0xfe6032a0810e90d025a3a39dd29844f964ee102c,0,3,0,0,0.091049,0,3,3,,,,,
0x5cb6f3e6499d1f068b33351d0cae4b68cdf501bf,0,5,0,0,0,0,2,2,,,,,
0x84b743441b7bdf65cb4293126db4c1b709d7d95e,0,2,0.001612,0,0.001612,1,3,4,,,,,
0x8530a26f6c062f55597bd30c1a44e248decb0027,0,3,0,0,0,10,4,14,,,,,
0x5ce162cfa6208d7c50a7cb3525ac126155e7bce4,0,33,0.1,0.360528,0.097472,0,23,23,,,,,
0x2853dc9ca40d012969e25360cce0d9d326b24a86,0,3,0.458,0,0.095525,1,3,4,,,,,
0x802271c02f76701929e1ea772e72783d28e4b60f,0,4,0,0.004475,0,0,3,3,,,,,
0x7bd2aa0726ac3b9e752b120de8568e90b0423ae4,0,4,0,0,0,0,4,4,,,,,
0xb540c05d9b2516da9596a5ee75d750717a4be035,0,3,0,0,0,0,3,3,,,,,
0xa72392cd4be285ab6681da1bf1c45f0b370cb7b4,0,3,0,0,0,1,2,3,,,,,
0xcf484269182ac2388a4bfe6d19fb0687e3534b7f,0,6,0.000043,0.000004,0,0,5,5,,,,,
0x994907cb80bfd175f9b0b32672cfde0091368e2e,0,20,0.18,0.004138,0.00004,9,12,21,,,,,
0x36eab6ce7fededc098ef98c41e83548a89147131,0,3,0,0.000075,0,20,3,23,,,,,
0x440db3ab842910d2a39f4e1be9e017c6823fb658,0,3,0.000911,0,0.175862,0,21,21,,,,,
0x25ac70ea6f44c4531a7117ea3620fa29cdaaca48,0,45,0,0,0.000836,0,4,4,,,,,
0x24d881139ee639c2a774b4b1851cb7a9d0fce122,0,4,0.01501,0,0,0,3,3,,,,,
0xd9a284367b6d3e25a91c91b5a430af2593886eb9,0,2,0,0,0,0,2,2,,,,,
0xe6b3367318c5e11a6eed3cd0d850ec06a02e9b90,0,8,0,0,0.014902,3,5,8,,,,,
0x88c0e901bd1fd1a77bda342f0d2210fdc71cef6b,0,3,0,0.000108,0,0,2,2,,,,,
0x7231c364597f3bfdb72cf52b197cc59111e71794,0,2,0,0,0,0,3,3,,,,,
0x043aed06383f290ee28fa02794ec7215ca099683,0,8,0.001051,0,0.001044,0,6,6,,,,,
0x0c95931d95694b3ef74071241827c09f25d40620,0,2,0,0,0,2,3,5,,,,,
0x417f3b59ef57c641283c2300fae0f27fe98d518c,0,3,0,0.000007,0,3,2,5,,,,,
0xd6b931d8d441b1ec98f55f8ec8adb532dc140c78,0,3,0,0,0,0,1,1,,,,,
0x9220625b1a30680387d542e6b5f753786ca5530e,0,3,0.005829,0.002206,0.003623,0,8,8,,,,,
0x997cf669860a1dcc76344866534d8679a7b562e2,0,11,0,0,0,0,1,1,,,,,
0xb961768b578514debf079017ff78c47b0a6adbf6,0,1,0,0,0,0,2,2,,,,,
0x052b91ad9732d1bce0ddae15a4545e5c65d02443,0,1,0,0,0,0,2,2,,,,,
0x8df64de79608f0ae9e72ecae3a400582aed8101c,0,2,0,0,0,0,2,2,,,,,
0x0e7b23cd1fdb7ea3ccc80320ab43843a2f193c36,0,2,0,0,0,0,2,2,,,,,
0xfbbc41289f834a76e4320ac238512035560467ee,0,2,0,0,0,0,2,2,,,,,
0x61e1da6c7b8b211e6e5dd921efe27e73ad226dac,0,3,0,0,0,0,2,2,,,,,
0x87fcbe64187317c59a944be5b9c5c830b9373730,0,2,0,0,0,0,2,2,,,,,
0x2acf0d6fdac920081a446868b2f09a8dac797448,0,4,0,0,0,0,4,4,,,,,
0x1715eb68afba4d516ef1e068b55f5093bb4a2f59,0,4,0.005,0,0,0,2,2,,,,,
0x58bab2f728dc4fc227a4c38cab2ec93b73b4e828,0,2,0.0014,0,0.004286,0,3,3,,,,,
0x25346934b4faa00dee0190c2069156bde6010c18,0,2,0,0.000028,0,2,2,4,,,,,
0xa01cca6367a84304b6607b76676c66c360b74741,0,8,0,0,0,1,5,6,,,,,
0x872917cec8992487651ee633dba73bd3a9dca309,0,5,0,0.000714,0.001372,3,2,5,,,,,
0x6c1a01c2ab554930a937b0a2e8105fb47946c679,0,2,0,0,0,0,2,2,,,,,
0x13c0e7c715fdea35c7f9663c719e4d36601275b9,0,3,0,0,0,0,2,2,,,,,
0xe8c5025c803f3279d94ea55598e147f601929bf4,0,2,0,0,0,0,2,2,,,,,
0x639acdbd838b81cea8d6a970136812783fa5bf5e,0,3,0,0,0,0,2,2,,,,,
0xb3087f34edab33a8182ba29adea4d739d9831a94,0,1,0,0,0,0,1,1,,,,,
0xc6a210606f2ee6e64afb9584db054f3476a5cc66,0,12,0.012871,0.000977,0.011894,4,8,12,,,,,
0xd01c9d93efc83c00b30f768f832182beff65696f,0,2,0,0,0,0,6,6,,,,,
0x00edf2d16afbc028fb1e879559b07997af79539f,0,2,0,0,0,0,2,2,,,,,
0xf5d722030d17ca01f2813af9e7be158d7a037997,0,4,0.011001,0,0,0,2,2,,,,,
0xae3d43ab6fdcd35386db427099ff11aa670ee0f4,0,10,0,0.000061,0,4,2,6,,,,,
0x0dc8b8ef8457b1e45ac277d65ac5987b547ba775,0,2,0,0,0,0,4,4,,,,,
0xde521346f9327a4314a18b2cda96b2a33603177a,0,2,0,0,0.01094,0,2,2,,,,,
0x69842e12d6f36f9f93f06086b70795bfc7e02745,0,2,0,0,0,0,2,2,,,,,
0x9b7bdf6ad17d5fc9a168acaa24495e52a65f3b79,0,2,0,0,0,0,2,2,,,,,
0xa2d47d2c42009520075cb15f5855052008d0c44d,0,2,0,0,0,0,2,2,,,,,
0xb0c249f6f92fb2491fc9750a5299d856ba2ea3c6,0,1,0,0,0,0,2,2,,,,,
0x839d96957f21e82fbcca0d42a1f12ef6e1cf82e9,0,2,0,0,0,0,2,2,,,,,
0x2a0d6b92b042497013e5549d6579202608ce0c80,0,2,0,0,0,0,2,2,,,,,
0xa4f8c598927eab2f1898f8f2d6f8121578de2344,0,2,0,0,0,0,1,1,,,,,
0xdb21655b672dacc8da6f538c899f9d6969604117,0,2,0,0,0,0,2,2,,,,,
0x21289cd01f9f58fc44962b6e213a0fbbd015beb6,0,2,0,0,0,0,2,2,,,,,
0x0b62d63c314d94dfa85b11a9c652ffe438382d6c,0,2,0,0,0,0,2,2,,,,,
0x9383e3096133f464d516b518b12851fd10d891f4,0,2,0,0,0,0,1,1,,,,,
0x64e582c17ab7c3b90e171795b504ca3c04108501,0,1,0,0,0,0,2,2,,,,,
0x848406919d014b1e5c27a82f951caff840fd63ef,0,2,0,0,0,0,2,2,,,,,
0x5fe015779fb36006b01f9c5a5dbcaa6ffa56f0c0,0,2,0,0,0,0,2,2,,,,,
0x28b6e15f86025b8ea8beaa6855a81069bfb6ab1e,0,2,0,0,0,0,1,1,,,,,
0x271d65af9a5a7b4cd7af264f251184c2a4b9e7a3,0,2,0,0,0.002,1,3,4,,,,,
0xddf44e34ed40c40624c7b9f20a1030b505a4fac0,0,4,0.002,0,0,0,2,2,,,,,
0xe5854075272ca5ef71663d5b87e0cd5ac53b2f36,0,2,0,0,0,0,2,2,,,,,
0x2798ba84d7830c5f60d750f37f87d93277106905,0,1,0,0.011507,0.008493,0,1,1,,,,,
0x7e9961fa09dd52f945f8143844785cf0e51bb4ce,0,5,0.02,0,0,1,2,3,,,,,
0xf33d2f7d96f92d912ca8418f9d62eb54c1a9889f,0,2,0,0,0,0,4,4,,,,,
